collection_title,folder_title,field,role,relative_path,flat_filename,file_size_kb,original_url,cloudflare_url_template,status
Studios,Lucasfilm Ltd.,titleLogoUrl,logo,studios/lucasfilm-ltd/logo.webp,studios__lucasfilm-ltd__logo.webp,37.54,https://imkaptain.github.io/nuvio-assets/assets/images/61c42f64.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/lucasfilm-ltd/logo.webp,SUCCESS
Studios,Lucasfilm Ltd.,heroBackdropUrl,backdrop,studios/lucasfilm-ltd/backdrop.jpg,studios__lucasfilm-ltd__backdrop.jpg,409.77,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/1-lucasfilm-ltd/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/lucasfilm-ltd/backdrop.jpg,SUCCESS
Studios,Marvel Studios,coverImageUrl,cover,studios/marvel-studios/cover.webp,studios__marvel-studios__cover.webp,10.59,https://imkaptain.github.io/nuvio-assets/assets/images/67a54fdf.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/marvel-studios/cover.webp,SUCCESS
Studios,Marvel Studios,titleLogoUrl,logo,studios/marvel-studios/logo.png,studios__marvel-studios__logo.png,70.92,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/420-marvel-studios/logos/color/420_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/marvel-studios/logo.png,SUCCESS
Studios,Marvel Studios,heroBackdropUrl,backdrop,studios/marvel-studios/backdrop.jpg,studios__marvel-studios__backdrop.jpg,423.9,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/420-marvel-studios/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/marvel-studios/backdrop.jpg,SUCCESS
Studios,MGM,coverImageUrl,cover,studios/mgm/cover.webp,studios__mgm__cover.webp,18.45,https://imkaptain.github.io/nuvio-assets/assets/images/434d7008.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/mgm/cover.webp,SUCCESS
Studios,MGM,titleLogoUrl,logo,studios/mgm/logo.png,studios__mgm__logo.png,1492.62,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/21-metro-goldwyn-mayer/logos/color/21_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/mgm/logo.png,SUCCESS
Studios,MGM,heroBackdropUrl,backdrop,studios/mgm/backdrop.jpg,studios__mgm__backdrop.jpg,420.08,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/21-metro-goldwyn-mayer/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/mgm/backdrop.jpg,SUCCESS
Studios,New Line Cinema,coverImageUrl,cover,studios/new-line-cinema/cover.png,studios__new-line-cinema__cover.png,460.86,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/streaming-services/new-line-cinema/new-line-cinema-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/new-line-cinema/cover.png,SUCCESS
Studios,New Line Cinema,titleLogoUrl,logo,studios/new-line-cinema/logo.webp,studios__new-line-cinema__logo.webp,1.29,https://imkaptain.github.io/nuvio-assets/assets/images/8b14f5c3.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/new-line-cinema/logo.webp,SUCCESS
Studios,New Line Cinema,heroBackdropUrl,backdrop,studios/new-line-cinema/backdrop.png,studios__new-line-cinema__backdrop.png,460.86,https://raw.githubusercontent.com/ImKaptain/nuvio-art/main/art/streaming-services/new-line-cinema/new-line-cinema-cover.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/new-line-cinema/backdrop.png,SUCCESS
Studios,Paramount Pictures,coverImageUrl,cover,studios/paramount-pictures/cover.webp,studios__paramount-pictures__cover.webp,9.75,https://imkaptain.github.io/nuvio-assets/assets/images/f0b7cba7.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/paramount-pictures/cover.webp,SUCCESS
Studios,Paramount Pictures,titleLogoUrl,logo,studios/paramount-pictures/logo.webp,studios__paramount-pictures__logo.webp,33.16,https://imkaptain.github.io/nuvio-assets/assets/images/5b28dc9b.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/paramount-pictures/logo.webp,SUCCESS
Studios,Paramount Pictures,heroBackdropUrl,backdrop,studios/paramount-pictures/backdrop.jpg,studios__paramount-pictures__backdrop.jpg,417.83,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/4-paramount-pictures/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/paramount-pictures/backdrop.jpg,SUCCESS
Studios,Pixar,coverImageUrl,cover,studios/pixar/cover.webp,studios__pixar__cover.webp,3.0,https://imkaptain.github.io/nuvio-assets/assets/images/01ca52c7.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/pixar/cover.webp,SUCCESS
Studios,Pixar,titleLogoUrl,logo,studios/pixar/logo.webp,studios__pixar__logo.webp,9.16,https://imkaptain.github.io/nuvio-assets/assets/images/5467bf25.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/pixar/logo.webp,SUCCESS
Studios,Pixar,heroBackdropUrl,backdrop,studios/pixar/backdrop.jpg,studios__pixar__backdrop.jpg,415.45,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/3-pixar/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/pixar/backdrop.jpg,SUCCESS
Studios,Searchlight Pictures,coverImageUrl,cover,studios/searchlight-pictures/cover.webp,studios__searchlight-pictures__cover.webp,36.25,https://static.wikitide.net/avidwiki/thumb/f/f8/Searchlight_Pictures_logo.png/1067px-Searchlight_Pictures_logo.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/searchlight-pictures/cover.webp,SUCCESS
Studios,Searchlight Pictures,titleLogoUrl,logo,studios/searchlight-pictures/logo.png,studios__searchlight-pictures__logo.png,47.56,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/collections/companies/127929-searchlight-pictures/logos/color/127929_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/searchlight-pictures/logo.png,SUCCESS
Studios,Searchlight Pictures,heroBackdropUrl,backdrop,studios/searchlight-pictures/backdrop.jpg,studios__searchlight-pictures__backdrop.jpg,377.81,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/collections/companies/127929-searchlight-pictures/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/searchlight-pictures/backdrop.jpg,SUCCESS
Studios,Sony Pictures,coverImageUrl,cover,studios/sony-pictures/cover.png,studios__sony-pictures__cover.png,249.37,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/refs/heads/main/collections/companies/34-sony-pictures/cards/dual_2d1d2d_231a3a_0e0914_0.3_0.5_0.7_0.5/card_34_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/sony-pictures/cover.png,SUCCESS
Studios,Sony Pictures,titleLogoUrl,logo,studios/sony-pictures/logo.png,studios__sony-pictures__logo.png,73.75,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/collections/companies/34-sony-pictures/logos/white/34_white_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/sony-pictures/logo.png,SUCCESS
Studios,Sony Pictures,heroBackdropUrl,backdrop,studios/sony-pictures/backdrop.jpg,studios__sony-pictures__backdrop.jpg,386.4,https://raw.githubusercontent.com/ImKaptain/nuvio-assets/main/collections/companies/34-sony-pictures/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/sony-pictures/backdrop.jpg,SUCCESS
Studios,Studio Ghibli,coverImageUrl,cover,studios/studio-ghibli/cover.webp,studios__studio-ghibli__cover.webp,8.1,https://imkaptain.github.io/nuvio-assets/assets/images/5072d59e.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/studio-ghibli/cover.webp,SUCCESS
Studios,Studio Ghibli,titleLogoUrl,logo,studios/studio-ghibli/logo.png,studios__studio-ghibli__logo.png,269.02,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/10342-studio-ghibli/logos/color/10342_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/studio-ghibli/logo.png,SUCCESS
Studios,Studio Ghibli,heroBackdropUrl,backdrop,studios/studio-ghibli/backdrop.jpg,studios__studio-ghibli__backdrop.jpg,408.75,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/10342-studio-ghibli/backdrops/t2_flat_1080p.jpg,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/studio-ghibli/backdrop.jpg,SUCCESS
Studios,Universal Pictures,coverImageUrl,cover,studios/universal-pictures/cover.webp,studios__universal-pictures__cover.webp,4.06,https://imkaptain.github.io/nuvio-assets/assets/images/50e0231c.webp,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/universal-pictures/cover.webp,SUCCESS
Studios,Universal Pictures,titleLogoUrl,logo,studios/universal-pictures/logo.png,studios__universal-pictures__logo.png,209.39,https://raw.githubusercontent.com/bramst0ne/prism-wallpapers/main/collections/companies/33-universal-pictures/logos/color/33_color_1.png,https://<YOUR_CLOUDFLARE_DOMAIN>/studios/universal-pictures/logo.png,SUCCESS
